fn,roi#,t1,x,y,mortality,status,peak,valley,valley_t,peak_t,threshold_t-
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,0,0.0371388888889,1063.0,1027.0,108.297735556,1,443.64425608957004,115.02477759288138,97.3001455556,119.291466111,107.298605
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,1,0.0371388888889,1023.0,1027.0,99.2981605556,1,413.31828245064338,65.36395083232685,92.2976194444,104.298538333,98.2984027778
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,2,0.0371388888889,941.0,1023.0,99.2981605556,1,419.4295794720453,145.14744634225906,96.2960061111,99.2981605556,98.2984027778
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,3,0.0371388888889,784.0,1020.0,145.289629444,2,585.59829928829379,130.04687976797757,90.2962994444,156.290624444,143.290286111
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,4,0.0371388888889,825.0,1018.0,99.2981605556,1,509.51158458480074,145.43674872520037,68.1615288889,137.287896111,98.2984027778
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,5,0.0371388888889,584.0,1011.0,148.288950833,2,547.0792308777992,138.55802126469789,112.300198889,157.2912775,147.289111389
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,6,0.0371388888889,504.0,1003.0,99.2981605556,2,538.34071891057556,162.62199500871026,61.1610608333,158.289146389,98.2984027778
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,7,0.0371388888889,1092.0,1000.0,108.297735556,1,374.90177002767444,152.12785278144349,69.1619605556,110.298491111,107.298605
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,8,0.0371388888889,265.0,998.0,94.2986241667,1,615.50438288377381,147.99054049743842,63.1601688889,99.2981605556,93.2985958333
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,9,0.0371388888889,226.0,998.0,155.289404722,2,351.9543051980508,142.13137439394461,139.288184167,157.2912775,153.288964444
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,10,0.0371388888889,990.0,989.0,118.288684444,1,378.77877957097803,152.31906758092688,47.1614975,126.286880278,114.298802778
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,11,0.0371388888889,947.0,985.0,126.286880278,1,423.8205481654918,144.07235555035703,99.2981605556,145.289629444,125.288238611
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,12,0.0371388888889,866.0,981.0,78.1607666667,1,1071.5870603226608,231.0,0.0371388888889,84.1625863889,77.1623775
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,13,0.0371388888889,906.0,984.0,90.2962994444,2,336.45372698984647,0.0,86.161295,157.2912775,86.161295
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,14,0.0371388888889,466.0,964.0,94.2986241667,1,415.54154723784961,194.08065400983205,92.2976194444,142.288734444,93.2985958333
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,15,0.0371388888889,1089.0,962.0,111.298205278,1,413.81511564906197,107.23579990957946,96.2960061111,113.300817778,110.298491111
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,16,0.0371388888889,1346.0,962.0,147.289111389,1,331.58338200650138,145.35036952740234,142.288734444,153.288964444,146.289413333
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,17,0.0371388888889,1067.0,948.0,118.288684444,1,573.51588012393154,128.35670306059285,95.2980227778,121.288281389,114.298802778
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,18,0.0371388888889,67.0,951.0,121.288281389,1,422.19415671810231,151.02524621488556,93.2985958333,137.287896111,120.289009444
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,19,0.0371388888889,908.0,942.0,102.299398889,1,407.96037734061167,0.0,85.1621244444,141.290213889,101.2991125
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,20,0.0371388888889,869.0,940.0,48.1620472222,1,550.39721751719344,225.0,0.0371388888889,80.1610283333,47.1614975
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,21,0.0371388888889,828.0,939.0,64.1616744444,1,427.14898024777187,152.83028428714195,58.1635238889,81.1621158333,63.1601688889
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,22,0.0371388888889,669.0,935.0,82.1613094444,1,768.95422903208305,199.64957401333339,53.1602497222,99.2981605556,81.1621158333
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,23,0.0371388888889,468.0,928.0,76.1601891667,1,567.84139231270444,184.69628270006265,65.1611944444,124.286288056,75.1627444444
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,24,0.0371388888889,508.0,929.0,49.1604583333,1,478.68401888981833,232.0,0.0371388888889,62.1604819444,48.1620472222
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,26,0.0371388888889,1269.0,919.0,138.290752222,1,485.23420926028189,135.04056744807298,124.286288056,141.290213889,137.287896111
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,28,0.0371388888889,796.0,906.0,111.298205278,1,387.87948990455368,146.78473079391537,98.2984027778,114.298802778,110.298491111
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,29,0.0371388888889,829.0,902.0,124.286288056,1,560.08145627503484,158.14481632918756,94.2986241667,131.288756667,123.287982222
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,30,0.0371388888889,511.0,891.0,148.288950833,2,605.43434883809778,155.22886567859416,111.298205278,157.2912775,147.289111389
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,31,0.0371388888889,430.0,887.0,142.288734444,1,425.98804171626949,148.79975393437837,64.1616744444,155.289404722,141.290213889
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,32,0.0371388888889,1313.0,882.0,140.289719167,2,572.41291630997898,107.77282888103801,133.288744444,158.289146389,139.288184167
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,34,0.0371388888889,831.0,862.0,78.1607666667,1,1093.1900575372226,198.0,0.0371388888889,112.300198889,77.1623775
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,35,0.0371388888889,952.0,867.0,123.287982222,1,477.65139629544495,137.59254760027986,78.1607666667,136.291403333,122.288555833
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,37,0.0371388888889,672.0,855.0,78.1607666667,1,653.30958324504218,222.0,0.0371388888889,84.1625863889,77.1623775
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,38,0.0371388888889,472.0,849.0,62.1604819444,1,509.52771215269934,171.3350288783206,42.1612883333,81.1621158333,61.1610608333
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,39,0.0371388888889,392.0,845.0,77.1623775,1,1277.9069648165912,213.44649964056856,55.1604188889,86.161295,76.1601891667
7f0718b2ee12bb396febed3e41cd3176.tif.mortality.tab,40,0.0371388888889,1271.0,840.0,147.289111389,2,537.65457887872594,133.79390026222774,50.1602297222,156.290624444,146.289413333
