fn,roi#,t1,x,y,mortality,status,peak,valley,valley_t,peak_t,threshold_t-
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,0,10.4951063889,758.0,795.0,78.5339272222,1,982.84812617388366,172.73249287719474,60.8758197222,81.5338533333,77.5339091667
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,1,10.4951063889,838.0,790.0,17.8731463889,1,929.03299110207672,237.31486203188663,11.5776047222,19.8750083333,12.6670327778
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,2,10.4951063889,959.0,780.0,43.8755183333,1,2463.8544466949229,217.42929604242062,22.8755758333,43.8755183333,42.8760588889
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,3,10.4951063889,1040.0,775.0,60.8758197222,1,1077.2080302439617,204.43416338559902,36.8752480556,62.8759025,59.8758261111
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,4,10.4951063889,510.0,773.0,73.5338511111,1,1002.4012599961792,188.50889442031061,50.8756488889,76.5339027778,72.5340258333
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,5,10.4951063889,876.0,746.0,48.8756197222,1,2304.8734006662621,381.36530521425703,44.8756605556,49.8756711111,47.8755897222
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,6,10.4951063889,957.0,740.0,73.5338511111,1,1462.4960928139274,196.30644225505338,33.8753791667,75.5338769444,72.5340258333
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,7,10.4951063889,427.0,739.0,64.8759413889,1,1066.4391606249114,194.16918387641928,26.8752230556,64.8759413889,63.8759183333
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,8,10.4951063889,998.0,738.0,35.8753438889,1,1902.7644915529502,208.39211203918765,19.8750083333,35.8753438889,34.8753594444
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,9,10.4951063889,1042.0,734.0,48.8756197222,1,1342.7351076235404,209.46736200001595,26.8752230556,53.8756963889,47.8755897222
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,10,10.4951063889,1078.0,732.0,61.8759547222,1,1374.979709708424,209.03823619724366,24.8755927778,62.8759025,60.8758197222
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,11,10.4951063889,1281.0,717.0,17.8731463889,1,1166.5008335981349,801.99291319076315,11.5776047222,18.8750044444,12.6670327778
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,12,10.4951063889,1321.0,714.0,44.8756605556,1,1849.0439040691249,270.58324124672123,34.8753594444,44.8756605556,43.8755183333
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,13,10.4951063889,619.0,698.0,63.8759183333,1,569.9050874379526,178.23969444253902,31.8752202778,64.8759413889,62.8759025
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,14,10.4951063889,1197.0,683.0,60.8758197222,1,1600.001493300613,212.46515686336991,22.8755758333,60.8758197222,59.8758261111
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,15,10.4951063889,587.0,687.0,72.5340258333,1,895.94355235447802,193.12860014990844,55.8757816667,75.5338769444,71.5337538889
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,16,10.4951063889,668.0,681.0,67.5337294444,1,1062.8297311185577,182.51801488878871,54.8758291667,67.5337294444,66.5337183333
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,17,10.4951063889,749.0,675.0,68.5330027778,1,1353.346442088796,203.58344733709416,26.8752230556,71.5337538889,67.5337294444
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,18,10.4951063889,1318.0,674.0,22.8755758333,1,4052.9525024011309,282.0,10.4951063889,23.8742725,21.8750777778
565888970b0dbb59c1980fd5da29af1a.tif.mortality.tab,19,10.4951063889,1360.0,670.0,44.8756605556,1,2151.2731966522651,233.17485527945533,20.8750430556,46.8756638889,43.8755183333
